State,Year,personal_income,GDP (in $),people_employed,Days with AQI,Good Days,Moderate Days,Unhealthy Days,Very Unhealthy Days,Max AQI,90th Percentile AQI,Median AQI,Chronic Respiratory  Related POD (%)
New Mexico,2015,79130.8,90779.4,1092272,283.125,220.4375,61.5,0.125,0.0,90.5,50.3125,32.125,8.8584033601142
New Mexico,2016,80782.3,90476.0,1092375,284.75,222.5,60.8125,0.25,0.0625,121.75,49.9375,32.25,8.68918733367199
New Mexico,2017,82354.1,93210.1,1095489,285.25,201.9375,78.875,0.25,0.1875,136.1875,56.8125,33.6875,8.637635423835206
New Mexico,2018,86179.5,98838.2,1110587,285.625,192.375,85.8125,0.5,0.0,110.1875,64.0625,35.6875,8.579036355514964
New Mexico,2019,91208.9,103821.0,1116429,283.0625,203.5625,76.125,0.3125,0.3125,154.5625,55.4375,33.3125,8.23329338585388
New Mexico,2020,98480.2,100656.4,1068784,285.25,213.5625,68.25,0.25,0.3125,129.5,55.0,33.8125,6.92842254791223
New York,2015,1137082.3,1498474.7,12099197,352.2413793103448,266.48275862068965,83.06896551724138,0.0,0.0,111.96551724137932,57.10344827586207,38.96551724137931,6.21762418485989
New York,2016,1176654.7,1556830.0,12259166,351.7586206896552,283.62068965517244,65.0,0.06896551724137931,0.0,119.41379310344827,54.724137931034484,37.41379310344828,6.135260802674243
New York,2017,1255776.7,1624800.7,12391361,350.9655172413793,289.55172413793105,59.827586206896555,0.10344827586206896,0.0,102.03448275862068,52.793103448275865,37.275862068965516,6.261348663440367
New York,2018,1298669.0,1710665.6,12655123,349.9642857142857,280.35714285714283,66.25,0.17857142857142858,0.03571428571428571,122.92857142857143,55.607142857142854,37.0,6.268790715966676
New York,2019,1343851.2,1787470.9,12745397,334.82758620689657,283.37931034482756,50.689655172413794,0.0,0.0,85.79310344827586,51.758620689655174,37.10344827586207,6.2774651726429695
New York,2020,1415297.4,1773369.8,11871078,357.1111111111111,306.2962962962963,50.111111111111114,0.07407407407407407,0.0,91.92592592592592,51.925925925925924,36.0,5.027514077082411
Washington,2015,376360.8,467590.6,4199164,345.9310344827586,258.7586206896552,82.24137931034483,1.0344827586206897,0.27586206896551724,166.06896551724137,60.13793103448276,33.793103448275865,8.218124628800288
Washington,2016,397270.6,489790.2,4313722,348.7586206896552,291.0,56.793103448275865,0.1724137931034483,0.0,91.06896551724138,51.724137931034484,29.689655172413794,8.103957986829874
Washington,2017,423017.2,527169.4,4432271,346.0,254.16666666666666,81.6,3.566666666666667,0.9,195.33333333333334,64.86666666666666,32.93333333333333,8.024868734685912
Washington,2018,451609.2,570337.8,4537842,355.6,269.46666666666664,76.26666666666667,4.066666666666666,0.7666666666666667,216.26666666666668,62.06666666666667,31.666666666666668,7.769598512735114
Washington,2019,484540.9,608643.4,4591912,353.48387096774195,278.35483870967744,74.54838709677419,0.0,0.0,87.83870967741936,55.96774193548387,31.032258064516128,7.677749281833491
Washington,2020,522509.2,620132.9,4434976,345.3225806451613,280.258064516129,56.483870967741936,2.7096774193548385,4.451612903225806,453.35483870967744,55.32258064516129,29.580645161290324,7.149296071101143
